id,title,url
1,Aracne,https://www.gamtorino.it/it/le-collezioni/catalogo-delle-opere-online-gam/aracne
2,Marina,https://www.gamtorino.it/en/node/39384
3,Asfissia! (parte sinistra),https://www.gamtorino.it/en/node/39175
4,La Sirena (Sirena) (Abisso verde),https://www.gamtorino.it/it/le-collezioni/catalogo-delle-opere-online-gam/la-sirena-sirena-abisso-verde
5,Mercato Vecchio di Firenze,https://www.gamtorino.it/it/le-collezioni/catalogo-delle-opere-online-gam/mercato-vecchio-di-firenze
6,Aprile,https://www.gamtorino.it/en/node/35215
7,Daphne (Daphne a Pavarolo),https://www.gamtorino.it/en/node/35323
8,La ragazza rossa (Testa di donna dai capelli rossi),https://www.gamtorino.it/it/le-collezioni/catalogo-delle-opere-online-gam/la-ragazza-rossa-testa-di-donna-dai-capelli-rossi
9,Estate (L'amaca),https://www.gamtorino.it/en/node/35380
10,Gotine rosse,https://www.gamtorino.it/en/node/35221
11,"Lo specchio della vita (E ciò che l'una fa, e le altre fanno)",https://www.gamtorino.it/en/node/35307
12,Autoritratto in forma di gufo,https://www.gamtorino.it/en/node/35381
