user,artwork,q5,q1,q2,q3,q4
2,1,the natural pose of the woman and the mess,,curious,,
2,2,colors,mathematics,"creative, because there is room for interpretation",,
2,3,the repetition of benches,a horror movie,emotionally detached,,
2,4,"the color contrast of the hair, the mermaid body and the water",something fake,not interested,,
2,5,the man at the center of the composition,my grand mother's house,,,
2,6,the anthropomorphic shape of the tree,death,cold,,
2,7,"the fields, the reflections in the glass and colors",a breath of nature,raised,,
2,8,,,,,
2,9,,,,,
2,10,,,,,
2,11,,,,,
2,12,,,,,
3,1,the girl bites her lip,"the nineteenth century, my aunts, the velvet","I'm interested in this girl, I'm fascinated by her but at the same time I smell the dust of the fabrics (carpet, upholstery, ...)",,
3,2,"the sky is yellow, the sand is violet","the sea, lying on the beach, the sunset",it make me feel calm and warm,,
3,3,the room is empty,the boarding school I went to as a child,sad,,
3,4,I don't know if the girl is alive or dead or she is sleeping,my girlfriend lying in the water,I like the red hair of the girl and her white skin,,
3,5,,,,,
3,6,,,,,
3,7,,,,,
3,8,,,,,
3,9,,,,,
3,10,,,,,
3,11,,,,,
3,12,,,,,
4,1,colors,friend's home,warm,,
4,2,atmosphere,sea,calm,,
4,3,emptyness,church,empty,,
4,4,water,greek art,Calm,,
4,5,,,,,
4,6,,,,,
4,7,,,,,
4,8,,,,,
4,9,,,,,
4,10,,,,,
4,11,,,,,
4,12,,,,,
5,1,"I see the girl. And her eyes, her powerful glimpse","About my grandgrandmother, a tall, strong woman",Curious: I want to know more about the woman,careless,😍 feelings of love or infatuation
5,2,the sea and a boat,about sunny holidays in south Italy,relaxed,sicily,relaxed
5,3,a messy room. why all the flowers on the floor?,i think about a party with an unhappy ending,sad,gone,😕 confused
5,4,"i see the mermaid, with her pale skin",I think about Ariel,confused. I do not know if she's dead or just waiting for him,white skin,😕 confused
5,5,the light of the image,"about exotic countries (Morocco, Algeria, Turkey) and their markets",I'm a tourist,the market,🙂 slightly happy
5,6,"i see a tree, but also a desperate man crying with his hands up",about the end of something,sad,desolation,😔 sadness
5,7,"a woman waiting for something. her pose, her neck",about empty days,quiet,lazy afternoon,quiet
5,8,i see red. her bright eye,about a school teacher. strong but nice,curious,red,🙂 slightly happy
5,9,,,,,
5,10,,,,,
5,11,,,,,
5,12,,,,,
6,1,,,,,😱 fear
6,2,,,,,🤔 thoughtful
6,3,,,,,😕 confused
6,4,,,,,😍 feelings of love or infatuation
6,5,,,,,🙂 slightly happy
6,6,,,,,😔 sadness
6,7,,,,,🤔 thoughtful
6,8,,,,,nothing
6,9,,,,,😍 feelings of love or infatuation
6,10,,,,,😴 boredom
6,11,,,,,😴 boredom
6,12,,,,,"🤢 disgust, 😱 fear"
7,1,A woman in a richly decorated room (with items coming from various countries) who has just destroyed a letter.,"It looks like the space of someone who is comfortable with her own company. It also makes me think of travels to far away places, even if it depicts the inside of a room.",Determination,The letter,"😮 surprise, 🤔 thoughtful"
7,2,"Bright colours. Some very neat shapes and other less defined that interact harmoniously. The big white spot is what struck my attention the most, as it seems less constrained than the other elements","It makes me think of something unexpected. Like an idea, after some reflection. Or a smile after a frown.","Calm, but also positive.",The surprise,"🙂 slightly happy, 🤔 thoughtful"
7,3,"A dark, stuffy room, possibly after a party","It doesn't feel like a place where I would like to be. Probably people had fun there just the night before, but now it looks claustrophobic, more like a memento mori. I can easily imagine the unpleasant smell of the room, especially the dead flowers.",Oppressed. Melancholic. ,The morning after the party,"😔 sadness, 🤢 disgust"
7,4,A sea creature luring a human. The green colour of the water is fascinating. The mermaid's hair looks seaweed-like.,It makes me think of several literary works and folk tales that I love.,"It's eerie. Il looks deceptively idillic. You can anticipate the death of the sailor, but I don't feel sorry for him.",Hidden Depths ,🙂 slightly happy
7,5,People going about their lives in a small town. What struck me the most was the warm light,"It reminds me of the streets of Italian towns, and social habits that seem so far away in the past.","Even though it's a busy space, which would probably bother me in real life, this image makes me feel serene.",Market street,🙂 slightly happy
7,6,"The countryside. Trees starting to show new leaves. The light is almost ethereal, feels cold. I like the sun painted behind the cloud.","It reminds me of the times I had to wake up very early for a trip or some other reason, and there was no one in the streets. That feeling ob being alone, in a good way.",It has a positive energy to it. Like something good coming up.,New Beginnings,"🙂 slightly happy, 🤔 thoughtful"
7,7,"A woman, sitting on a windowsill, her eyes closed enjoying the light or warm air. She seems to feel the place and be connected to it, even though her attention is focused to herself","At being with someone you like, in a place where you both feel at home. Even though the painter is not in the image, I imagine his presence, and I think that the woman feels very comfortable around it.",Like having conquered a little nugget of happiness after a very arduous time. And not allowing anyone to take that away from you.,The respite,"🤔 thoughtful, 😌"
7,8,"A woman, vaguely amused. I think she's sitting in a cafe. Her earring stands out as it's possibly the only thing not in a red-earthy colour",It reminds me of the long nights I used to spend with my friends chatting in pubs and cafes,"I think she has some kind of sardonic smile, and I like that. But, that aside, I don't have strong emotions associated to this painting.",Portrait in red,"🙂 slightly happy, 😴 boredom"
7,9,,,,,
7,10,,,,,
7,11,,,,,
7,12,,,,,
8,1,Birds in the background ,,Inquisitive ,,🙂 slightly happy
8,2,Geometric shapes ,,Happy ,,😄 happy
8,3,Food and flowers on the floor ,,Scared ,,😱 fear
8,4,Mermaid hair ,,Hopeful,,😍 feelings of love or infatuation
8,5,Marketplace ,,As though I want to travel somewhere ,,😄 happy
8,6,Dead trees ,,Dark ,,😴 boredom
8,7,A woman sitting in the window ,,Bored ,,😴 boredom
8,8,Deformed face ,,Awkward ,,😕 confused
8,9,,,,,
8,10,,,,,
