Gender,Age,Art Relationship,Visit museums
Male,53,[2],1
Female,23,[1],1
Male,55,[1],1
Male,38,[1],0
Female,54,[2],1
Female,38,[3],2
Female,47,[1],1
Female,26,[1],0
Female,24,[2],2
Female,66,[1],2
Female,55,[2],2
Female,42,[3],2
Female,36,[3],2
Female,55,[2],2
Female,25,"[3, 2]",2
Female,51,[1],1
Female,25,[1],2
Male,56,[3],2
Prefer not to say,36,[2],1
Female,36,[3],1
Female,30,[2],2
Female,30,[3],2
Female,37,[2],2
Female,42,[3],2
Female,33,[2],2
Female,73,[2],2
Male,61,[2],1
Non binary,22,[2],1
Female,32,[3],2
Female,42,[2],2
Female,24,[2],2
Female,51,[3],2
Female,47,[3],2
Female,34,[2],1
Male,53,[2],1
Male,33,[1],1
Female,44,[3],2
Male,37,[2],1
Female,41,[2],2
Female,32,[1],2
Female,,[2],2
Prefer not to say,35,"[1, 0]",0
Female,29,[1],1
Female,39,"[3, 2]",2
Female,52,[3],2
Male,49,"[3, 2]",1
Male,26,[2],2
Male,28,[3],2
Male,67,[3],2
Male,36,"[3, 2]",1
Female,44,[3],2
Female,50,[3],2
Male,63,[3],2
Male,41,[2],1
Female,62,[3],2
Female,28,[3],1
Female,43,[1],1
Agender,31,"[3, 2]",2
Female,35,[1],1
Female,59,"[3, 2]",1
Female,59,[2],1
Male,48,[2],2
Female,60,[1],1
Female,?,[1],0
Female,37,[3],2
Female,53,[2],2
Female,61,[1],1
Female,62,"[3, 2]",2
Female,50,[2],1
Male,30,"[3, 2]",1
Female,33,"[3, 2]",2
Female,30,[2],1
Male,59,[2],1
Female,63,[2],1
Female,42,[2],1
Female,60,[2],2
Female,63,[],1
Female,55,[1],1
Female,47,[1],1
Male,48,"[3, 2]",2
Male,51,"[3, 2]",2
Female,62,[1],1
Female,34,"[3, 2, 2]",1
Female,41.0,[3],2
Female,44.0,[1],1
Female,41.0,[0],0
Female,60.0,[1],1
Male,46.0,[0],0
Male,80.0,[1],1
Male,28.0,[0],0
Male,49.0,[1],1
Male,60.0,[1],2
Male,24.0,[2],1
Male,32.0,[1],1
Male,36.0,[1],0
Male,77.0,[1],0
Female,45.0,[2],1
Female,17.0,[0],1
Female,23.0,[1],1
Male,22.0,[2],-1
Female,26.0,[1],0
Female,23.0,[2],1
Female,50.0,[1],1
Female,50.0,[1],1
Male,30.0,[2],1
Female,31.0,[1],0
Female,53.0,[2],2
Prefer not to say,,[2],2
Female,45.0,[1],1
Female,23.0,[2],1
Male,61.0,[1],1
Female,28.0,[1],1
Female,23.0,[2],1
Male,40.0,"[2, 1]",0
Male,40.0,[3],1
Male,45.0,"[3, 1]",1
Female,38.0,[1],1
Male,61.0,"[3, 2]",1
Other sex / asexual,34.0,"[3, 2]",1
Female,39.0,[2],2
Female,46.0,[1],1
Female,55.0,[3],1
Female,30.0,[2],2
Male,37.0,[1],0
Female,57.0,[1],2
Prefer not to say,,[3],1
Female,62.0,"[3, 2]",2
