 ;Participant type;AOTMuseum1Duration;AOTPrepDuration;beleifR;DemographicEducationType;DemographicGender;DemographicGrade;DemographicIdentity;DemographicPolitics;DemographicReligous;DemographicsPrepDuration;LQAOTMuseum1OpenBeleifsConflict;LQAOTMuseum1OpenBeleifsImportant;LQAOTMuseum1OpenBeliefTest;LQAOTMuseum1OpenCategorizePeople;LQAOTMuseum1OpenConfuse;LQAOTMuseum1OpenConsider;LQAOTMuseum1OpenDifferentContext;LQAOTMuseum1OpenHateBeliefs;LQAOTMuseum1OpenOneWay;LQAOTMuseum1OpenOthers;LQAOTMuseum1OpenReligiousLeaders;LQAOTMuseum1OpenValuesMore;LQAOTMuseum1OpenValuesPossible;LQAOTPrepOpenBeleifsConflict;LQAOTPrepOpenBeleifsImportant;LQAOTPrepOpenBeliefTest;LQAOTPrepOpenCategorizePeople;LQAOTPrepOpenConfuse;LQAOTPrepOpenConsider;LQAOTPrepOpenDifferentContext;LQAOTPrepOpenHateBeliefs;LQAOTPrepOpenOneWay;LQAOTPrepOpenOthers;LQAOTPrepOpenReligiousLeaders;LQAOTPrepOpenValuesMore;LQAOTPrepOpenValuesPossible;LQRHMSMuseum1HistDifferentiate;LQRHMSMuseum1HistIdentity;LQRHMSMuseum1HistPatrioticValue;LQRHMSMuseum1HistPersonalKnowledge;LQRHMSMuseum1HistUnderstandNews;LQRHMSMuseum1HistUnderstandValues;LQRHMSMuseum1HistUnderstandWorld;LQRHMSMuseum1HistUnderstandWorldNeg;LQRHMSPrepHistDifferentiate;LQRHMSPrepHistIdentity;LQRHMSPrepHistPatrioticValue;LQRHMSPrepHistPersonalKnowledge;LQRHMSPrepHistUnderstandNews;LQRHMSPrepHistUnderstandValues;LQRHMSPrepHistUnderstandWorld;LQRHMSPrepHistUnderstandWorldNeg;RHMSMuseum1Duration;RHMSPrepDuration
NR11108;;;0.02M;;GJ;F;11;J;R;M;0.02M;;;;;;;;;;;;;;2;6;5;2;4;6;5;2;2;6;1;6;4;;;;;;;;;6;5;5;6;4;1;6;2;;0.01M
NR111300;;0.01M;0.08M;;GJ;M;11;J;VR;S;0.09M;6;6;1;1;1;6;6;1;6;6;1;5;1;6;6;1;1;1;6;6;1;1;6;1;6;1;6;2;1;1;3;1;3;3;6;3;1;2;5;1;4;3;0.01M;0.82M
NR111352;;0.03M;0.87M;;GJ;M;11;J;R;S;0.10M;4;5;4;2;2;5;5;5;2;3;1;5;3;3;1;6;1;1;5;5;5;1;2;1;2;4;4;5;6;4;3;5;5;3;6;6;6;5;3;3;4;2;0.08M;0.08M
NR112800;;0.10M;0.14M;;GJ;M;11;J;R;S;0.02M;4;3;4;2;1;6;5;5;2;5;1;5;4;5;2;2;3;1;6;5;4;2;5;2;4;4;6;4;5;5;4;4;5;2;6;6;6;5;3;2;5;1;0.01M;0.03M
NR115421;;0.01M;0.02M;;GJ;F;11;J;R;S;0.03M;4;4;4;3;3;6;4;3;3;5;4;4;4;5;5;5;3;3;6;4;2;4;2;3;6;5;4;5;5;4;5;4;5;5;2;2;2;2;2;1;3;4;0.01M;0.03M
NR115934;;;0.17M;;GJ;M;11;J;R;S;0.17M;;;;;;;;;;;;;;2;2;6;4;1;6;6;2;1;5;4;2;6;;;;;;;;;5;5;5;4;5;3;5;1;;0.08M
NR116510;;0.02M;0.03M;;GJ;F;11;J;VR;M;0.01M;6;6;1;3;3;4;4;6;3;5;6;4;5;6;6;1;5;4;2;6;6;3;5;6;5;2;5;6;6;6;6;5;5;2;5;5;6;5;6;4;6;3;0.02M;0.02M
NR121823;;0.01M;0.02M;;GJ;F;11;J;R;S;0.03M;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;2;3;5;4;3;3;5;4;4;3;4;4;4;4;4;4;4;4;5;5;4;5;5;4;4;2;0.03M;0.02M
NR125123;;0.01M;0.02M;;GJ;F;11;J;R;M;0.02M;5;4;5;5;4;4;4;4;3;5;4;4;5;4;5;4;4;3;4;5;4;4;5;4;5;3;5;4;5;5;5;5;5;2;6;5;5;6;4;4;6;2;0.03M;0.04M
NR12581;;0.01M;0.04M;;GJ;M;11;J;DK;S;0.37M;4;2;5;4;3;6;4;2;2;5;3;4;5;4;2;5;3;;6;3;1;2;5;1;3;5;5;5;4;4;5;3;5;4;4;5;5;4;5;3;5;2;0.01M;0.03M
