userId,LQAOTMuseum1OpenBeleifsConflict,LQAOTMuseum1OpenBeleifsImportant,LQAOTMuseum1OpenBeliefTest,LQAOTMuseum1OpenCategorizePeople,LQAOTMuseum1OpenConfuse,LQAOTMuseum1OpenConsider,LQAOTMuseum1OpenDifferentContext,LQAOTMuseum1OpenHateBeliefs,LQAOTMuseum1OpenOneWay,LQAOTMuseum1OpenOthers,LQAOTMuseum1OpenReligiousLeaders,LQAOTMuseum1OpenValuesMore,LQAOTMuseum1OpenValuesPossible,LQAOTPrepOpenBeleifsConflict,LQAOTPrepOpenBeleifsImportant,LQAOTPrepOpenBeliefTest,LQAOTPrepOpenCategorizePeople,LQAOTPrepOpenConfuse,LQAOTPrepOpenConsider,LQAOTPrepOpenDifferentContext,LQAOTPrepOpenHateBeliefs,LQAOTPrepOpenOneWay,LQAOTPrepOpenOthers,LQAOTPrepOpenReligiousLeaders,LQAOTPrepOpenValuesMore,LQAOTPrepOpenValuesPossible,LQRHMSMuseum1HistDifferentiate,LQRHMSMuseum1HistIdentity,LQRHMSMuseum1HistPatrioticValue,LQRHMSMuseum1HistPersonalKnowledge,LQRHMSMuseum1HistUnderstandNews,LQRHMSMuseum1HistUnderstandValues,LQRHMSMuseum1HistUnderstandWorld,LQRHMSMuseum1HistUnderstandWorldNeg,LQRHMSPrepHistDifferentiate,LQRHMSPrepHistIdentity,LQRHMSPrepHistPatrioticValue,LQRHMSPrepHistPersonalKnowledge,LQRHMSPrepHistUnderstandNews,LQRHMSPrepHistUnderstandValues,LQRHMSPrepHistUnderstandWorld,LQRHMSPrepHistUnderstandWorldNeg
NR111300,6.0,6.0,1.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,5.0,1.0,6.0,6.0,1.0,1,1.0,6.0,6.0,1.0,1,6.0,1.0,6.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,6.0,3,1,2.0,5.0,1.0,4.0,3.0
NR111352,4.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,6.0,1,1.0,5.0,5.0,5.0,1,2.0,1.0,2.0,4.0,4.0,5.0,6.0,4.0,3.0,5.0,5.0,3.0,6.0,6,6,5.0,3.0,3.0,4.0,2.0
NR112800,4.0,3.0,4.0,2.0,1.0,6.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,2.0,2.0,3,1.0,6.0,5.0,4.0,2,5.0,2.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,6.0,6,6,5.0,3.0,2.0,5.0,1.0
NR115421,4.0,4.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3,3.0,6.0,4.0,2.0,4,2.0,3.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,2,2,2.0,2.0,1.0,3.0,4.0
NR116510,6.0,6.0,1.0,3.0,3.0,4.0,4.0,6.0,3.0,5.0,6.0,4.0,5.0,6.0,6.0,1.0,5,4.0,2.0,6.0,6.0,3,5.0,6.0,5.0,2.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,5.0,5,6,5.0,6.0,4.0,6.0,3.0
NR121823,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2,3.0,5.0,4.0,3.0,3,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5,4,5.0,5.0,4.0,4.0,2.0
NR125123,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4,3.0,4.0,5.0,4.0,4,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,5,5,6.0,4.0,4.0,6.0,2.0
NR126116,5.0,6.0,2.0,5.0,1.0,6.0,6.0,1.0,5.0,6.0,3.0,5.0,5.0,6.0,6.0,3.0,5,1.0,6.0,6.0,2.0,1,6.0,5.0,2.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,1.0,5.0,4,4,5.0,6.0,1.0,6.0,2.0
NR128556,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3,2.0,4.0,4.0,4.0,2,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5,5,5.0,4.0,3.0,6.0,3.0
NR131128,1.0,2.0,5.0,4.0,3.0,6.0,5.0,4.0,2.0,4.0,1.0,2.0,6.0,4.0,5.0,2.0,4,1.0,3.0,4.0,6.0,1,2.0,1.0,4.0,1.0,,,,,,,,,5.0,6,4,5.0,5.0,2.0,6.0,2.0
NR133037,6.0,5.0,3.0,5.0,2.0,6.0,4.0,5.0,1.0,6.0,5.0,4.0,6.0,6.0,5.0,3.0,3,1.0,5.0,3.0,5.0,1,5.0,3.0,6.0,4.0,,,,,,,,,3.0,6,6,6.0,6.0,3.0,6.0,1.0
NR133426,6.0,6.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,6.0,4.0,6.0,6.0,6.0,6.0,1.0,1,2.0,6.0,6.0,1.0,1,4.0,5.0,6.0,6.0,,,,,,,,,2.0,4,2,5.0,1.0,2.0,6.0,6.0
NR13449,4.0,5.0,4.0,2.0,2.0,6.0,6.0,1.0,2.0,5.0,1.0,4.0,6.0,5.0,4.0,4.0,2,2.0,6.0,6.0,1.0,2,5.0,4.0,5.0,6.0,,,,,,,,,5.0,5,6,5.0,4.0,4.0,6.0,3.0
NR134627,5.0,4.0,2.0,2.0,1.0,4.0,6.0,1.0,1.0,5.0,2.0,6.0,4.0,6.0,3.0,1.0,2,2.0,6.0,5.0,1.0,1,4.0,1.0,6.0,3.0,,,,,,,,,5.0,4,4,4.0,2.0,5.0,3.0,2.0
NR134793,5.0,6.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5,3.0,3.0,4.0,5.0,2,3.0,4.0,4.0,3.0,,,,,,,,,5.0,5,6,6.0,4.0,5.0,5.0,3.0
NR144520,5.0,5.0,6.0,1.0,2.0,6.0,5.0,5.0,2.0,5.0,2.0,2.0,6.0,4.0,2.0,5.0,2,2.0,6.0,5.0,5.0,2,5.0,2.0,4.0,6.0,,,,,,,,,6.0,5,5,5.0,6.0,2.0,6.0,1.0
NR147897,6.0,6.0,5.0,1.0,1.0,6.0,5.0,1.0,1.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,1,1.0,6.0,6.0,1.0,6,1.0,6.0,6.0,6.0,,,,,,,,,1.0,6,6,5.0,1.0,1.0,6.0,6.0
PH111172,4.0,6.0,2.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,1.0,5.0,4.0,1.0,6.0,5.0,4,2.0,6.0,4.0,6.0,3,6.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2,4,2.0,1.0,1.0,2.0,2.0
PH112020,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4,2.0,4.0,3.0,6.0,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4,4,4.0,3.0,2.0,3.0,4.0
PH112469,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5,1.0,6.0,6.0,2.0,2,4.0,2.0,6.0,2.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,2,4,4.0,5.0,1.0,6.0,2.0
PH112935,5.0,6.0,5.0,2.0,5.0,5.0,6.0,4.0,4.0,6.0,1.0,3.0,5.0,6.0,6.0,4.0,2,4.0,5.0,1.0,4.0,1,6.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,5.0,2,4,4.0,4.0,2.0,6.0,2.0
PH113622,1.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,5.0,1.0,3.0,5.0,2.0,2.0,4.0,2,2.0,5.0,5.0,3.0,1,6.0,1.0,4.0,4.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,2.0,4.0,4,4,3.0,2.0,4.0,2.0,6.0
PH115272,4.0,6.0,2.0,2.0,3.0,6.0,6.0,5.0,4.0,6.0,1.0,3.0,4.0,4.0,6.0,4.0,2,2.0,6.0,4.0,2.0,4,6.0,3.0,4.0,6.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,3,2,2.0,2.0,2.0,2.0,3.0
PH115643,4.0,4.0,4.0,2.0,2.0,5.0,6.0,2.0,1.0,5.0,2.0,3.0,6.0,4.0,2.0,4.0,1,2.0,6.0,6.0,1.0,1,5.0,2.0,5.0,6.0,,,,,,,,,4.0,2,3,5.0,2.0,3.0,3.0,5.0
PH121103,4.0,6.0,4.0,6.0,2.0,4.0,6.0,6.0,5.0,1.0,1.0,4.0,4.0,5.0,6.0,4.0,5,3.0,5.0,6.0,5.0,3,1.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,4,5,5.0,3.0,4.0,3.0,5.0
PH121881,5.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,5.0,5.0,6.0,2.0,4,2.0,5.0,5.0,4.0,5,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5,5,6.0,3.0,2.0,5.0,2.0
PH12201,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,6.0,1.0,5.0,5.0,4.0,6.0,3.0,5,2.0,5.0,6.0,5.0,2,5.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,4.0,2,2,4.0,1.0,1.0,1.0,2.0
PH123120,3.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,4,2.0,5.0,4.0,4.0,2,4.0,1.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4,6,4.0,4.0,3.0,4.0,2.0
PH123152,4.0,5.0,4.0,3.0,3.0,6.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,4,1.0,4.0,4.0,2.0,2,5.0,1.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,6.0,5,5,4.0,4.0,3.0,6.0,3.0
PH123633,3.0,4.0,5.0,3.0,2.0,6.0,5.0,1.0,3.0,6.0,2.0,2.0,5.0,4.0,5.0,4.0,3,1.0,5.0,6.0,2.0,2,6.0,1.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,2.0,5.0,2.0,3.0,4,4,2.0,3.0,2.0,5.0,2.0
PH123892,5.0,5.0,5.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,2,4.0,6.0,5.0,3.0,5,5.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6,6,6.0,5.0,5.0,5.0,5.0
PH124671,1.0,4.0,5.0,1.0,2.0,5.0,6.0,1.0,2.0,6.0,1.0,4.0,6.0,2.0,4.0,6.0,1,1.0,6.0,5.0,1.0,4,6.0,1.0,1.0,6.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,5,5,4.0,2.0,2.0,4.0,3.0
PH124901,1.0,1.0,5.0,3.0,3.0,6.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,3.0,3.0,4.0,4,2.0,6.0,5.0,1.0,2,6.0,2.0,4.0,6.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,5.0,1.0,2,4,2.0,1.0,1.0,1.0,5.0
PH124989,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3,2.0,4.0,2.0,2.0,2,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2,5,3.0,3.0,1.0,4.0,3.0
PH231219,3.0,4.0,6.0,3.0,3.0,6.0,4.0,1.0,2.0,5.0,5.0,3.0,6.0,3.0,4.0,6.0,6,1.0,6.0,5.0,1.0,2,5.0,2.0,4.0,6.0,,,,,,,,,6.0,6,5,5.0,4.0,5.0,6.0,4.0
PH231979,3.0,6.0,6.0,4.0,1.0,4.0,6.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,6.0,5.0,5,1.0,5.0,6.0,2.0,1,5.0,6.0,3.0,4.0,,,,,,,,,5.0,6,6,6.0,5.0,3.0,6.0,6.0
PH232228,6.0,6.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5,3.0,6.0,6.0,5.0,4,6.0,5.0,4.0,4.0,,,,,,,,,5.0,6,6,5.0,5.0,4.0,6.0,5.0
PH23272,1.0,1.0,6.0,1.0,6.0,6.0,2.0,6.0,2.0,4.0,1.0,3.0,6.0,3.0,6.0,1.0,1,6.0,1.0,1.0,6.0,6,1.0,1.0,4.0,1.0,,,,,,,,,6.0,1,1,1.0,1.0,1.0,1.0,1.0
PH233877,4.0,5.0,5.0,3.0,2.0,6.0,6.0,2.0,3.0,6.0,2.0,4.0,5.0,4.0,5.0,5.0,2,1.0,6.0,6.0,2.0,2,6.0,3.0,3.0,4.0,,,,,,,,,4.0,2,5,4.0,6.0,2.0,5.0,2.0
PH235355,5.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,4.0,6.0,6.0,3.0,4,2.0,3.0,5.0,2.0,2,2.0,3.0,4.0,2.0,,,,,,,,,6.0,4,5,5.0,4.0,4.0,5.0,5.0
PH236328,4.0,4.0,3.0,3.0,1.0,3.0,4.0,5.0,2.0,6.0,1.0,3.0,4.0,2.0,3.0,6.0,1,1.0,4.0,4.0,2.0,2,5.0,1.0,5.0,6.0,,,,,,,,,2.0,3,1,1.0,3.0,3.0,4.0,5.0
PH236659,6.0,6.0,1.0,3.0,5.0,5.0,5.0,1.0,2.0,6.0,5.0,4.0,2.0,5.0,5.0,6.0,2,3.0,6.0,4.0,4.0,3,6.0,4.0,5.0,6.0,,,,,,,,,6.0,4,5,4.0,5.0,3.0,5.0,6.0
PH241681,5.0,6.0,2.0,1.0,2.0,1.0,6.0,1.0,3.0,6.0,4.0,3.0,2.0,6.0,5.0,1.0,2,2.0,3.0,4.0,2.0,1,6.0,1.0,2.0,2.0,,,,,,,,,2.0,5,5,2.0,1.0,3.0,5.0,1.0
PH243071,4.0,5.0,4.0,4.0,2.0,6.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,5,2.0,6.0,5.0,4.0,5,4.0,2.0,4.0,5.0,,,,,,,,,2.0,4,2,3.0,5.0,3.0,6.0,2.0
PH243072,4.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,1.0,4.0,4.0,5.0,6.0,2.0,2,1.0,5.0,6.0,2.0,1,5.0,1.0,6.0,2.0,,,,,,,,,3.0,3,4,3.0,4.0,3.0,5.0,2.0
PH24344,3.0,5.0,6.0,5.0,4.0,5.0,6.0,1.0,1.0,6.0,2.0,2.0,5.0,2.0,5.0,6.0,1,1.0,4.0,6.0,4.0,1,6.0,2.0,4.0,5.0,,,,,,,,,5.0,6,6,6.0,5.0,5.0,6.0,3.0
PH243832,2.0,5.0,4.0,5.0,1.0,5.0,6.0,6.0,2.0,4.0,1.0,4.0,4.0,2.0,6.0,5.0,4,1.0,4.0,4.0,5.0,2,5.0,2.0,5.0,5.0,,,,,,,,,4.0,5,6,5.0,5.0,4.0,6.0,1.0
PH244236,6.0,6.0,1.0,1.0,1.0,5.0,6.0,1.0,5.0,6.0,2.0,5.0,1.0,6.0,6.0,1.0,1,1.0,4.0,4.0,1.0,1,6.0,1.0,4.0,1.0,,,,,,,,,6.0,5,5,4.0,2.0,1.0,5.0,2.0
PH244330,5.0,6.0,6.0,1.0,1.0,6.0,6.0,2.0,1.0,6.0,1.0,3.0,6.0,5.0,6.0,6.0,4,1.0,5.0,6.0,4.0,1,5.0,1.0,3.0,6.0,,,,,,,,,5.0,6,6,5.0,6.0,4.0,6.0,1.0
PH24503,6.0,1.0,6.0,1.0,1.0,6.0,4.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,1,1.0,6.0,6.0,1.0,1,4.0,1.0,3.0,6.0,,,,,,,,,4.0,1,1,1.0,4.0,1.0,4.0,4.0
PH245669,4.0,6.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,6.0,4.0,4,2.0,4.0,4.0,5.0,3,2.0,2.0,5.0,5.0,,,,,,,,,5.0,3,3,4.0,4.0,4.0,3.0,3.0
PH246415,1.0,2.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,6.0,3,2.0,5.0,5.0,3.0,2,4.0,1.0,2.0,4.0,,,,,,,,,6.0,5,6,5.0,4.0,3.0,5.0,2.0
PH246799,6.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,5.0,6.0,5.0,6.0,3.0,3,6.0,4.0,4.0,4.0,6,4.0,4.0,5.0,3.0,,,,,,,,,5.0,6,6,5.0,4.0,4.0,5.0,3.0
PH247209,3.0,2.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,4,1.0,5.0,5.0,6.0,2,6.0,3.0,4.0,5.0,,,,,,,,,4.0,5,5,5.0,4.0,4.0,5.0,3.0
