userId,DemographicEducationType,DemographicGender,DemographicGrade,DemographicIdentity,DemographicPolitics,DemographicReligous,community
NR111300,GJ,M,11,J,VR,S,6
NR111352,GJ,M,11,J,R,S,5
NR112800,GJ,M,11,J,R,S,5
NR115421,GJ,F,11,J,R,S,25
NR116510,GJ,F,11,J,VR,M,1
NR121823,GJ,F,11,J,R,S,25
NR125123,GJ,F,11,J,R,M,25
NR126116,GJ,F,11,J,R,M,13
NR128556,GJ,F,11,J,R,S,25
NR131128,GJ,F,11,C,R,S,9
NR133037,GJ,F,11,J,R,S,1
NR133426,GJ,F,11,J,R,M,4
NR13449,GJ,F,11,J,R,M,10
NR134627,GJ,M,11,J,DK,S,4
NR134793,GJ,M,11,J,R,M,12
NR144520,GJ,M,11,J,VR,S,23
NR147897,GJ,F,11,J,VR,M,22
PH111172,GJ,F,10,J,L,S,18
PH112020,GJ,F,10,J,R,S,25
PH112469,GJ,M,10,J,DK,M,5
PH112935,GJ,F,10,J,L,S,3
PH113622,GJ,F,10,J,R,S,0
PH115272,GJ,F,10,J,C,S,18
PH115643,GJ,F,10,J,DK,S,10
PH121103,GJ,F,10,J,DK,S,8
PH121881,GJ,F,10,J,C,M,5
PH12201,GJ,F,10,J,C,S,5
PH123120,,M,10,J,R,M,5
PH123152,,M,10,J,C,S,5
PH123633,GJ,F,10,J,DK,S,10
PH123892,GJ,F,10,J,L,S,3
PH124671,GJ,F,10,J,L,S,10
PH124901,GJ,M,10,DK,DK,M,0
PH124989,GJ,F,10,C,C,S,25
PH231219,GJ,F,10,J,DK,S,24
PH231979,GJ,M,10,J,R,S,15
PH232228,GJ,F,10,J,R,M,19
PH23272,GJ,M,10,J,DK,S,17
PH233877,GJ,F,10,J,DK,M,10
PH235355,GJ,F,10,J,DK,S,8
PH236328,GJ,M,10,J,DK,S,5
PH236659,GJ,F,10,J,R,M,16
PH241681,GJ,M,10,J,DK,S,11
PH243071,GJ,M,10,J,C,S,5
PH243072,GJ,F,10,J,C,M,7
PH24344,GJ,M,10,J,VL,S,14
PH243832,GJ,M,10,J,R,S,2
PH244236,GJ,F,10,J,DK,S,6
PH244330,GJ,F,10,J,C,S,10
PH24503,GJ,M,10,J,DK,S,20
PH245669,GJ,F,10,J,VR,S,12
PH246415,GJ,M,10,J,R,S,9
PH246799,GJR,F,10,J,VR,R,21
PH247209,GJ,F,10,J,DK,S,5
PH248703,GJ,M,10,J,VL,S,9
PH248869,GJ,F,10,J,VL,S,2
